title,url,price,p
"Продава транзистор СЕЛЕНА",https://www.alo.bg/9150214,80 лв.,"Продавам транзистор СЕЛЕНА над 50 годишен Липсват 2 копчета"
"USB Bluetooth Music Receive с3.5мм стерео аудио жак",https://www.alo.bg/3535872,10 лв.,"ревърнете вашия преносим компютър, таблет или телефон в мощтна аудио система с помоща на безжичното Bluetooth стерео аудио устройство Usb устройството може да се свърже с всички Bluetooth устройств.."
"Bluetooth AUX аудио приемник комплект за кола",https://www.alo.bg/5107624,12 лв.,"Характеристики Bluetooth V3.0 + EDR Обхват 10 м. поддържа профил A2DP 3,5 мм стерео конектор за вход Режим икономичен режим на пестене на енергия Безжичният музикален приемник се свързва с 3.."
"Евтини ДВД плеъри с 10бр. дискове",https://www.alo.bg/8313557,20 лв.,"Продава ЕВТИНО ДВД ПЛЕЪРИ, РАБОТЕЩИ и само по 20лв. бр. ПОДАРЪК 10бр. дискове с музика и филми. При повече бройки ОТСТЪПКИ"
"MP3 player JVC KD-G401 AUX",https://www.alo.bg/8451816,80 лв.,"Перфектно работещ MP3 плейър, 4х50W JVC, свалящ панел, мощен и чист стерео звук,AUX извод."
"Teac T-R460 stereo tuner RDS",https://www.alo.bg/9146572,100 лв.,"Произвежда се около 1996-1998г - Търсене на цифрови станции - FM/AM - Таймер и функция за заспиване - 20 предварително зададени FM + 20 предварително зададени AM Връзки: - 2 x RCA л.."
"Technics оригинална радио антена + стойка и болчета",https://www.alo.bg/9131740,35 лв.,"Technics оригинална радио антена + стойка и болчета"
"Колони Пайнер",https://www.alo.bg/9075120,100 лв.,"Двулентови напълно здрави каси, без забележки. Доста добър и чист звук"
"баскаса Thuder 600W 12-кa",https://www.alo.bg/8464808,100 лв.,"бас каса Thuder 600W 12-кa. доста добър и плътен бас, напълно здрава каса без хъркане"
"Technics ST-500 тунер/ не светва за части или ремонт",https://www.alo.bg/9135546,20 лв.,"Technics ST-500 тунер/ не светва за части или ремонт"
"Technics SL-PG460A Сиди Плеър+ дистанционно",https://www.alo.bg/9002676,90 лв.,"Technics SL-PG460A Сиди Плеър+ дистанционно. Чете перфектно матрични и записани дискове."
"SONY ST-S170/ перфектен тунер",https://www.alo.bg/9135720,80 лв.,"Стерео тунер, отличен технически и визуално. Памет за 30 станции."
"Техникс-SC-CH404 система",https://www.alo.bg/9133898,180 лв.,"Системата е запазена, перфектен звук."
"Panasonic sa-ch32+дистанционно",https://www.alo.bg/9138912,120 лв.,"Системата свири перфектно, тунер работи и едната касетка, без външни забележки. СД за почистване не прочита дискове."
"Panasonic RX-C34L Радиокасетофон",https://www.alo.bg/9138694,100 лв.,"Касетофона свири чудесно, без външни забележки, радиото работи перфектно. За смяна на ремък!"
"Аудио и видео техника",https://www.alo.bg/9107381,40 лв.,"ППродавам отлично запазена аудио и видеотехника: 1. DVD Player ELITE PV-399X - 30 лв 2. Радиоприемник RESPROM PC-301 с 2 тонколони - 40 лв 3. Портативен радиоприемник JOC с USB за флашка със запис.."
"+Гаранция! Усилвател AV процесор Yamaha DSP-E800 180W",https://www.alo.bg/8912197,199 лв.,"+Гаранция 1 месец! Усилвател AV процесор Yamaha DSP-E800 180W RMS Output: Center - 70W (8ohm); Rear - 70W + 70W (8ohm) 0,06% THD; 20Hz - 20kHz Работи перфектно! Няма проблеми. В много добро външн.."
"МР3 CD Blaupunkt за автомобил",https://www.alo.bg/6803020,35 лв.,"Продавам употребяван със следи от ползване по него МР3 CD Blaupunkt работещ много добре. Със падащ панел и стандартна евро букса на задния панел. Вади добър звук във колата и захранва 4 говорителя. Це.."
"stereo Panasonic RX-CT800 и..",https://www.alo.bg/7309076,79 лв.,"предлагам работещ касетъчен Panasonic RX-CT800=79лв, ретро радио AEG -Super 4311 GW made in Denmark 1931г, (с сигурност е поправимо-всички части мисля са налични/, може и по договаряне-ноНе смешни пре.."
"NAD 541i (improved version) by Björn Erik Edvardsen",https://www.alo.bg/9036704,260 лв.,"Отстъпка в цената само при лично предаване. NAD 541i (improved version) by Björn Erik Edvardsen. Прочетете за тази рядка версия в интернет. Изключително запазен екземпляр. Работи безупречно с .."
"DIY DAC TDA1541 USB/Coax/Opt",https://www.alo.bg/8952145,999 лв.,"При лично предаване получавате отстъпка от цената! Чисто нов качествен външен DAC TDA1541, ръчно асемблиран от мен: -Двуслойна платка изработена в Hitachi Chemicals Taiwan. -Кондензатори Phi.."
"Marantz PM5 Esotec Class A",https://www.alo.bg/7017552,1 999 лв.,"При лично предаване получавате отстъпка от цената! НЕ РАЗМЕНЯМ В БАРТЕР. Уникат - една от първите произведени бройки в Света. Marantz PM5 EsoTec висок модел, работещ в клас А Class A (виж сним.."
"⏯️Клип. Trio Kenwood KR-730 monster receiver motorized radio search",https://www.alo.bg/8286379,399 лв.,"При лично предаване получавате отстъпка от цената! ⏯️Реален клип между снимките. Висок клас монстър ресивър, съдържащ две независими устройства висок клас - правотоков транзисторен усилвател и авт.."
"Намалено. Wega Modul 301T Hi-End tuner",https://www.alo.bg/8776159,145 лв.,"При лично предаване получавате отстъпка от цената! Намалено. Wega Modul 301T Hi-End tuner Висок клас алуминиев тунер, тежи почти колкото някои усилватели, приема пълен стерео обхват, като дор.."
"HANDMADE in England PreAmp",https://www.alo.bg/8577825,299 лв.,"При лично предаване получавате отстъпка от цената! Не продавам, единствено замяна за дак (имам си всичко останало). Първата версия. Има мн инфо в нета. Естествен и запомнящ се звук. Ръчно изра.."
"Marantz PM-55SE /PM-25 /SD-52 /CD-62",https://www.alo.bg/8553970,299 лв.,"High-End stereo Amplifier PM-55-SE Special Edition 2x75W размери 420х132х280мм тегло-10 кг отлично състояние и работа, цена-250 лв. продаден Stereo Amplifier PM-25 2x50W 8 Ohm размери 420х120х2.."
"Видеорегистратор FULL HD 1080 с 2 камери",https://www.alo.bg/9134707,75 лв.,"Качествен Видеорегистратор FULL HD 1080 с 2 камери - предна и задна, както и вход за допълнителна задна камера на бронята! В комплект с 32Гб Мемори карта."
"Продавам CD Pioneer - DEH4500MP за кола чете почти всякакви формати",https://www.alo.bg/4060452,120 лв.,"Към него има всички кабели и евро букса 4x45 свири много добре"
"НАЙ-ДОБРИЯТ (v1.5) компактен уред за АВТОДИАГНОСТИКА, изчистване на грешки, кодочетец",https://www.alo.bg/8333671,19.90 лв.,"УСТРОЙСТВОТО Е НАЙ-НОВАТА ВЕРСИЯ elm327 v1.5 с ДВЕ платки 25k80, ПОДДЪРЖА ВСИЧКИ OBD и OBD II ПРОТОКОЛИ, И ВСИЧКИ АВТОМОБИЛИ С ТАКАВА БУКСА! БОНУС: ПОСЛЕДНАТА ВЕРСИЯ НА ПРОФЕСИОНАЛЕН СОФТУЕР (който .."
"GPS Prestigio 4055 навигация за кола, 4.3 инча, като нова, карта на България",https://www.alo.bg/5000973,100 лв.,"GPS Prestigio 4055 навигация за кола с карта на България с меню и гласови напътствия на български език. Може да се ползва и като мултимедийно устройство. Навигацията почти не е ползввана и е като нова.."
"MP3/USB/SD трнсмитер за кола",https://www.alo.bg/8907114,9 лв.,"Мр3 трансмитер за кола usb/sd/ малка и голяма карта. Дистанционно ."
"ELM327 MINI блутут скенер за автодиагностика OBD2, V1.5",https://www.alo.bg/8063387,21 лв.,"ELM327 MINI блутут скенер за автодиагностика OBD2, V1.5 ELM327-1 The newly developed wireless scan tool. It supports all OBD-II protocols. It is the latest version 1.5 Bluetooth-Compatib.."
"Продавам навигация за камион WEST_ROAD",https://www.alo.bg/8684891,130 лв.,"GPS навигационна система за камион WEST ROAD WR-X256S FM EU, 800MHZ, 256MB RAM, 8GB Реф. WR-X256S Състояние: малко използвана Качествена GPS навигация за камион с максимум параметри, последно и.."
"Аудио RCA кабели за свързване с автомобилен усилвател-/DIETZ GERMANY/",https://www.alo.bg/8960449,18 лв.,"Продавам комплект аудио RCA кабели /DIETZ GERMANY/ за свързване към автомобилен усилвател. Кабели за сигнала 2 на 2 чинча(RCA), Кабел за remote с обувки. Заповече инфо - по телефона."
"AUX bluetooth 4.2 ресивер адаптер X6",https://www.alo.bg/5903953,14.99 лв.,"Bluetooth 4.2 EDR, разстояние на предаване 10m Поддръжка на Bluetooth функция за свободни ръце Поддръжка на Bluetooth A2DP стерео Поддръжa възпроизвеждане на TF карти Честота: 2.4GHz 3.5 мм стере.."
"Bluetooth 3,5мм AUX IN аудио адаптер за автомобил или домашна уредба",https://www.alo.bg/5412461,11.99 лв.,"Слушайте музика безжично през аудио системата на автомобила ви или уредбата в къщи. Bluetooth 4.1 Music Receiver ви позволява да слушате музика от мобилния си телефон чрез аудио системата на автомоб.."
"Мултимедия за Toyota Rav-4 2001-2003 Висок клас",https://www.alo.bg/8999374,380 лв.,"Нова мултимедия висок клас на оборудване и програми. Операционата система е Android 11. Toyota Rav 4 2001год. -2003год. Модела с врътките на климатика, но става и за 2003год до 2005год. МУЛТИМЕДИЯТА Н.."
"Аудио плейър за атвомобил SONASHI-8828",https://www.alo.bg/8813337,39.99 лв.,"Авто MP3 Плеър с вход за Флашка и SD карта Описание на продукта: • Мощност 4 х 80 W • Формат на Звука: Mp3, WMA • AUX вход на предния панел • Вграден USB Вход: изведен на предния пане.."
"Видеорегистратор HD",https://www.alo.bg/7761945,24.99 лв.,"HD DVR видеорегистратор може да бъде поставен на предното стъкло на вашия автомобил, за да записва видео и аудио. Този запис може да се съхранява на карта с памет. Притежава и нощен режим за видео.."
"Задна камера Mazda 3 Hatchback хечбек 2014-2017",https://www.alo.bg/9137205,80 лв.,"Задна камера Mazda 3 Hatchback хечбек 2014-2017. Плън енд плей, елементарна инсталация, има пуснати кабели до задната част. Махате една задна кора, вкарвате новия кабел и слагате камерата на мястото.."
"Мултимедия за vw и шкода за вграждане Android 12",https://www.alo.bg/8980221,120 лв.,"ЕЛЕКТРОНЕН МАГАЗИН РАБОТИМ С ДОСТАВКА ЧРЕЗ ЕКОНТ За БЪРЗА поръчка В САЙТА може да напишете съобщение с: - Имена: - АДРЕС или ОФИС на еконт: - Телефон за връзка: Мултимедия за фабрично вг.."
"9” 2-DIN мултимедия с Android 13 за BMW E39 1999-2005",https://www.alo.bg/9119385,278 лв.,"9” 2-DIN мултимедия с Android 13 за BMW E39 1999-2005 Монтажът е лесен, не се налага преправяне на инсталацията на автомобила - буксите на устройството се включват директно към стандартните букси н.."
"10” 2-DIN мултимедия с Android 13, 32GB ROM, 2GB RAM за Skoda Octavia 2007-2013",https://www.alo.bg/9025707,270 лв.,"10” 2-DIN мултимедия с Android 13, 32GB ROM, 2GB RAM за Skoda Octavia 2007-2013 Всички функции и възможности на изделието са щателно проверени от наш специалист, преди да бъде направено това пред.."
"Cd-Changer ALPINE RENAULT",https://www.alo.bg/9114611,25 лв.,"Cd-Changer ALPINE RENAULT Оригинален"
"Радиокасетофон Ford Оригинален",https://www.alo.bg/9114615,50 лв.,"Радиокасетофон Ford Оригинален"
"КОМПЛЕКТ aвтодиагностика Delphi и лаптоп HP с тъчскрийн дисплей",https://www.alo.bg/8885493,440 лв.,"Това е готов комплект за работа в автосервиз или любителска автодиагностика. Включва нова универсална автодиагностика за автомобили и камиони и ревизиран лаптоп HP Probook втора употреба с инсталира.."
"Автодиагностика универсална Mucar BT200 Pro",https://www.alo.bg/8687180,222 лв.,"Авто диагностика от висок клас. Това е версия на популярната диагностика Launch X431 Изпълнена на базата на чипа на Launch. Безплатно доживотно обновяване на всички марки автомобили. Регистрира.."
"Монитор тъчскрин радио VW-Passat B8",https://www.alo.bg/9114470,140 лв.,"Монитор тъчскрин радиокасетофон VW-Passat B8. Монитора е спукан но всички функции работят."
"9” 2-DIN мултимедия за Volkswagen-SEAT-Skoda. Android 12, RDS, 32GB ROM, RAM 2GB DDR3",https://www.alo.bg/8851047,260 лв.,"9” 2-DIN универсална мултимедия с Android 12 за Volkswagen, SEAT, Skoda Монтажът е лесен, не се налага преправяне на инсталацията на автомобила - буксите на устройството се включват директно към ст.."
"Автодиагностика универсална Autocom 2021, Delphi, Wurth WoW",https://www.alo.bg/8636871,169 лв.,"Универсална автодиагностика за автомобили, електромобили, бусове и камиони. Диагностиката е с по-високо хардуерно изпълнение за по-добра работа с нови и стари автомобили. Програмата подържа модели.."
"9” 2-DIN мултимедия за VW-SEAT-Skoda. Android 12, RDS, 32GB ROM, RAM 2GB DDR3",https://www.alo.bg/9011362,240 лв.,"9” 2-DIN универсална мултимедия с Android 12 за Volkswagen, SEAT, Skoda Монтажът е лесен, не се налага преправяне на инсталацията на автомобила - буксите на устройството се включват директно към .."
"7” 2-DIN мултимедия с Android 13 за Volkswagen-SEAT-Skoda. RDS, 64GB ROM, RAM 2GB DDR3_32",https://www.alo.bg/8958730,239 лв.,"7” 2-DIN мултимедия с Android 13 за Volkswagen, SEAT, Skoda Монтажът е лесен, не се налага преправяне на инсталацията на автомобила - буксите на устройството се включват директно към стандартните б.."
"7” 2-DIN универсална мултимедия с Android 11, RDS, 32GB ROM, RAM 2GB DDR3",https://www.alo.bg/8958781,179 лв.,"7” 2-DIN универсална мултимедия с Android 11, утвърден производител и високо качество С навигация и капацитивен тъчскриин цифров FM-тунер с RDS 32GB ROM, RAM 2GB DDR3 25 избираеми теми AV-вхо.."
"9.5’’ Tesla style 2-DIN универсална мултимедия с Android 12, RDS, 32GB ROM, RAM 2GB",https://www.alo.bg/8984536,288 лв.,"9.5’’ Tesla style 2-DIN универсална мултимедия с Android 12 от утвърден производител и с европейско качество ВНИМАНИЕ! Преди да поръчате, разгледайте всички снимки, вижте размерите и преценете д.."
"9” двоен DIN универсална мултимедия с Android 12, RDS, 32GB ROM, 2GB RAM",https://www.alo.bg/8984595,199 лв.,"Двоен DIN 9” универсална мултимедия с Android 12, RDS, 32GB ROM, 2GB RAM С навигация и капацитивен тъчскриин, 9’’ дисплей с 2.5D преден панел от закалено стъкло, цифров FM-тунер с RDS, 32GB R.."
"9” 2-DIN мултимедия с Android 12, RDS, 64GB ROM, RAM 2GB DDR3",https://www.alo.bg/8864460,245 лв.,"9” 2-DIN универсална мултимедия с Android 12, утвърден производител и високо качество С навигация и капацитивен тъчскриин цифров FM-тунер с RDS 32GB ROM, RAM 2GB DDR3 53 избираеми теми 4 физи.."
"Продавам смарт часовник Самсунг 2",https://www.alo.bg/8403377,50 лв.,"Продавам смарт часовник Самсунг watch 2 със зарядно и кутия. В добро състояние не е носен много!"
"Samsung Galaxy Watch 3",https://www.alo.bg/8771128,165 лв.,"Перфектен без забележки. Пълен комплект. Не можах да го свикна и стои. Използван три дена. Договаряне! Само верижката струва 50лв."
"Смарт фитнес гривна M5 Smart Bracelet",https://www.alo.bg/9082595,14 лв.,"Продава се нова и неизползвана Смарт фитнес гривна M5 Smart Bracelet. Предлага се в оригиналната опаковка. Има функция за Bluetooth разговори, възпроизвеждане на музика, превключване с набиране с .."
"Продавам нов часовник, телефон Модел WATCH 8 MAX! Часовникът е уникален! н",https://www.alo.bg/8645895,60 лв.,"Всички възможни измервания на здравето! Часовника е с фабричната си опаковка! Работи еднакво добре с Айфон и с Андроид!"
"Смарт часовник",https://www.alo.bg/8948572,20 лв.,"Спортен мъжки смарт часовник. Функции за кръвно налягане, пулс, стъпки, изминато разстояние, калории, функция сън. Синхронизиране с всички андроид телефони. Продуктът е чисто нов, изпробван преди паке.."
"Промоция: Smart гривна/часовник D20 модел 2022",https://www.alo.bg/8536045,15.99 лв.,"Измерване на кръвното налягане Сатурация - кислородно съдържание в кръвта SPO2 Монитор на сърдечна дейност ( Пулс ) BPM Проследяване на ежедневните дейности ( разстояние, брой крачки, изгорени кало.."
"Huawei watch 3 pro",https://www.alo.bg/8668953,540 лв.,"Продава се часовника в перфектно състояние и без забележки. С титаниева верижка е."
"Lemfo Lemp.T Smart watch Android 9",https://www.alo.bg/9135818,215 лв.,"Чесовника е като нов без нито една забележка пълен комплект 1/16gb Със две камери предна на дисплея и странична. Работи със всички оператори. Nano SIM card. Nano SIM card."
"Apple Watch Series 3",https://www.alo.bg/9065096,250 лв.,"Запазен часовник с добра батерия, продава се с няколко комплекта каишки и калъфа за екрана. Микрофона работи отлично. Няма никакви забележки по работата на устройството. Продава се с кабел за зареждан.."
"Нови Детски Смарт Часовници Противоводни с Проследяване",https://www.alo.bg/7296331,80 лв.,"Представям ви уникалните детски смарт часовници S19 от новото поколение, поддържащи проследяване, снимане и видео разговори. Дизайнът и устойчивостта IP67 са перфектни за всяко едно игриво дете. Напра.."
"Apple iWatch 7 45mm midnight blue",https://www.alo.bg/9107246,495 лв.,"Продавам iwatch 7 45mm Midnight Aluminium Case with Midnight Sport Band Часовникът е носен само от мен. Продавам го защото го сменям с нов модел. Купен е от техномаркет на 20.08.2022. без забележки.."
"Smart watch, Смарт часовник X8 Max",https://www.alo.bg/8516078,35 лв.,"Цвят - Розов Функции: 1. Уведомления и обаждания по мобилен телефон и напомняния за информация (whatsapp, facebook, twitter и др.) 2. Измерване на температура, пулс, кръвно налягане, кислород .."
"Смарт часовник гривна",https://www.alo.bg/8774834,20 лв.,
"Смарт часовник",https://www.alo.bg/8984548,32 лв.,"Качествен смарт часовник Състояние: Чисто ново Цвят: черен Изпращам чрез Еконт или Спиди Свързва се посредством Bluetooth или може директно да го използвате със сим карта. Стилен и удо.."
"Смарт часовник W17 PRO",https://www.alo.bg/9148513,49.90 лв.,"Смарт часовник W17 PRO 1.9 инч, 210mAh, сменяща се каишка / Цвят: Черен, Бял, Розов / 1х Смарт часовник, Каишка, Зарядно;"
"Мъжки смарт часовник",https://www.alo.bg/8578352,70 лв.,"Нов мъжки смарт часовник. Красив и елегантен спортен дизайн. Синхронизиране с вашия телефон за всички модели андроид 5 или по-висока версия. Кутийка, упътване и кабел зареждане. За Стара Загора с личн.."
"Смарт унисекс часовник Ultra F4 Bluetooth Call",https://www.alo.bg/9147826,25 лв.,"Смарт унисекс часовник Ultra F4 Bluetooth Call Нови, фабрична опаковка! Наличен цвят: черен с черна каишка За още интересни предложения разгледайте другите ни обяви! Описание: 2,01-инчов к.."
"Apple Watch 7 45mm Black",https://www.alo.bg/9140853,400 лв.,"Нов. Носеше малко. Комплект. Развързан от акаунта. Батерия 96%"
"Продавам Samsung Gear S3 classic",https://www.alo.bg/8853237,120 лв.,"часовника е в много добро състояние, работи отлично без никакви софтуерни или хардуерни дефекти. *3 месеца гаранция *възможен бартер *опция за изпращане по куриер с преглед и тест *предла.."
"Smart часовник FD68S",https://www.alo.bg/8707101,19.99 лв.,"Модел: FD68S Водоустойчив: IP67 BT версия: 5.0 Батерия: 1 * Polymor Lithium Cell, 3.7V 260mAh (включена) Размер на екрана: 1.44 инча Приложима система: Над IOS 9.0, Над Andriod 5.1 Материал на к.."
"Мъжки военен смарт часовник MELANDA 1.85 Bluetooth Call Smartwatch",https://www.alo.bg/9130897,80 лв.,"Описание • IP68 Водоустойчивост: Може да се носи по време на плуване или душ, без да се притеснявате за повреда от вода. • Монитор за кръвно налягане: Следи кръвното ви налягане през целия ден за.."
